#WORD	ANIMATE	INANIMATE	MALE	FEMALE	NEUTRAL	SINGULAR	PLURAL
制作人	4	0	2	2	0	4	1
要	0	0	0	0	0	1	0
damit	3	0	0	0	0	3	0
德勒	1	0	1	0	0	1	0
雅虎	0	8	0	0	0	0	0
这些	3	0	3	0	0	12	5
书写	0	0	0	0	0	5	0
死者	30	0	10	15	0	43	0
走向	0	1	0	0	0	5	2
佛罗里达	0	2	0	0	0	2	0
三峡	0	17	0	0	0	32	0
容量	0	0	0	0	0	9	0
学会	0	3	0	0	0	3	0
爆炸	0	0	0	0	0	19	0
上岸	0	0	0	0	0	0	0
马尼拉市	0	1	0	0	0	1	0
阶层	0	0	0	0	0	3	0
公安	0	5	0	0	0	2	0
远东	0	2	0	0	0	2	0
$	0	1	0	0	1	1	0
+	0	6	0	0	0	4	0
她们	58	1	6	58	0	55	58
.	3	0	1	0	0	9	1
香精	0	0	0	0	0	2	0
院团	1	0	1	0	0	1	1
纲要	0	0	0	0	0	2	0
,	1	1	1	0	0	3	0
跳水队	2	2	0	0	0	0	2
权利金	0	0	0	0	0	2	0
约翰·科茨尼	2	0	0	0	0	2	0
这里	18	57	6	8	0	121	11
阿嬷	12	0	0	12	0	12	0
国防部长	1	1	1	0	0	1	0
火山灰	0	0	0	0	0	2	0
认证	0	0	0	0	0	2	0
德航	0	0	0	0	0	1	0
保证	0	0	0	0	0	4	0
?	0	0	0	0	0	1	0
动画图	0	0	0	0	0	1	0
视	0	0	0	0	0	1	0
洛舍维奇	1	0	1	0	0	1	0
@	0	1	0	0	0	3	0
筹画	0	0	0	0	0	2	0
工人	12	0	9	0	0	32	5
制约	0	0	0	0	0	1	0
札记	0	0	0	0	0	1	0
窗口	0	0	0	0	0	2	0
尼安德特人	3	0	3	0	0	3	3
形象	0	0	0	0	0	16	0
排位	0	0	0	0	0	2	0
余秋雨	1	0	0	0	0	1	0
高凌风	3	0	0	0	0	3	0
大夫	0	0	0	0	0	2	0
阿尔及尔	0	2	0	0	0	2	0
神秘	0	0	0	0	0	0	0
成年人	0	0	0	0	0	3	0
公寓	0	0	0	0	0	6	0
d	0	0	0	0	0	3	0
全局	0	0	0	0	0	2	0
条例	0	0	0	0	0	23	0
监区	0	0	0	0	0	2	0
南安	0	1	0	0	0	1	0
m	0	1	0	0	0	1	0
k	0	1	0	0	0	1	0
运作	0	0	0	0	0	4	0
i	0	2	0	0	0	2	0
南宁	0	2	0	0	0	2	0
days	2	2	0	0	0	2	0
李云迪	3	0	0	0	0	3	0
大姨爸	0	0	0	0	0	1	0
相互	0	1	0	0	0	2	2
发音	0	0	0	0	0	3	0
地段	0	0	0	0	0	6	0
当年	0	0	0	0	0	38	0
护理署	0	1	0	0	0	1	0
税收	0	0	0	0	0	6	0
意外	0	0	0	0	0	14	0
南山	0	1	0	0	0	1	0
这个	1	1	1	1	0	47	2
安吉拉·查默斯	1	0	0	0	0	1	0
２４日	0	0	0	0	0	1	0
阿加该拉	0	1	0	0	0	1	0
震级	0	0	0	0	0	1	0
变革	0	0	0	0	0	8	0
风景区	0	2	0	0	0	3	0
奖励	0	0	0	0	0	0	0
曹刊雨	1	0	1	0	0	1	0
蝼蚁	0	0	0	0	0	1	0
简志龙	1	0	1	0	0	0	1
股东	2	0	2	0	0	3	2
英语	0	0	0	0	0	19	0
灵活性	0	0	0	0	0	2	0
９月	0	0	0	0	0	1	0
上将	2	0	2	0	0	3	2
阵容	0	0	0	0	0	2	0
心脏	0	0	0	0	0	2	0
李岚清	2	0	1	0	0	2	0
葭宏秋	2	0	0	0	0	2	0
学位	0	0	0	0	0	9	0
东势东路	0	1	0	0	0	1	0
商武	5	0	5	0	0	5	0
酒泉	0	2	0	0	0	2	0
李行	1	0	0	0	0	1	0
卫生部	0	5	0	0	0	0	0
台铁	0	6	0	0	0	0	0
唐宁街	1	1	0	0	0	1	0
俄亥俄州	0	1	0	0	0	1	0
工会	2	2	2	0	0	4	2
应用	0	0	0	0	0	5	2
左中右派	0	0	0	0	0	2	0
演员	1	0	0	1	0	3	0
皇家	0	0	0	0	0	2	0
工伤	0	0	0	0	0	3	0
养女	0	0	0	0	0	2	0
福尔摩沙	1	1	0	0	0	1	1
价格战	0	0	0	0	0	3	0
边陲	0	0	0	0	0	2	0
西	0	0	0	0	0	2	0
兰哈特	1	0	1	0	0	1	0
泰雅	2	0	0	0	0	2	2
合金	0	0	0	0	0	2	0
博客	0	0	0	0	0	20	0
２１日	0	0	0	0	0	1	0
法兰西	0	1	0	0	0	1	0
７月	0	0	0	0	0	1	0
地洞	0	0	0	0	0	1	0
粮耗子	0	0	0	0	0	2	0
批准书	0	0	0	0	0	2	0
原判	0	0	0	0	0	2	0
捷克	0	2	0	0	0	2	0
换取	0	0	0	0	0	1	0
货币	0	0	0	0	0	5	0
袁	0	0	0	0	0	1	0
子牙河	0	1	0	0	0	1	0
石油	0	0	0	0	0	5	0
康保局	2	2	0	0	0	2	0
夫妇	26	0	25	4	0	39	30
谭铁牛	1	0	1	0	0	1	0
阁揆	0	0	0	0	0	6	0
桥本	1	0	1	0	0	1	0
加央多吉	1	0	0	0	0	1	0
袍	0	0	0	0	0	2	0
百度	0	0	0	0	0	2	0
沙龙	38	0	24	0	0	38	0
故事	0	0	0	0	0	51	0
控股	0	8	0	0	0	0	0
老年人	1	0	1	0	0	2	0
阿尾	1	0	0	0	0	1	0
大姑	0	0	0	0	0	1	0
风险	0	0	0	0	0	12	0
恩戈兰	3	0	3	0	0	3	3
如今	0	0	0	0	0	37	0
８月	0	0	0	0	0	6	6
叶菊兰	16	0	0	16	0	16	0
冲击	0	0	0	0	0	4	0
枢纽	0	0	0	0	0	8	2
德军	0	1	0	0	0	1	0
拷问	0	0	0	0	0	2	0
疾病	0	0	0	0	0	3	0
里岛	0	0	0	0	0	3	0
地震波	0	0	0	0	0	1	0
联席会议	0	0	0	0	0	2	0
坠机	0	0	0	0	0	1	0
小虎	0	0	0	0	0	1	0
歌唱家	1	0	0	0	0	1	0
原则	0	2	0	0	0	43	0
雪花	0	0	0	0	0	2	0
故乡	3	6	0	1	0	6	0
协定	0	3	0	0	3	33	0
中学生	1	0	1	0	0	1	0
死结	0	0	0	0	0	2	0
王沅澧	1	0	1	0	0	1	0
辛哲	3	0	3	0	0	3	0
５月	0	0	0	0	0	2	0
医师	3	1	1	0	0	6	2
space	0	1	0	0	1	1	0
九八	0	0	0	0	0	1	0
居者	0	0	0	0	0	1	0
本土	0	5	0	0	0	8	0
驻扎	0	0	0	0	0	1	0
柯林顿	2	0	1	0	0	2	0
金额	0	0	0	0	0	32	0
访视	0	1	0	0	0	1	0
后里	0	1	0	0	0	1	0
车子	0	0	0	0	1	11	0
职场	0	0	0	0	0	2	0
吴建乐	18	0	18	0	0	18	0
民主德国	0	2	0	0	0	2	0
夫妻	6	0	6	0	0	7	6
纳税者	1	0	1	0	0	1	1
中文台	1	1	0	0	0	0	1
决赛	0	0	0	0	0	6	0
外面	0	0	0	0	0	4	0
韩友福	3	0	0	0	0	3	0
６月	0	0	0	0	0	6	0
谢震颖	2	0	0	0	0	2	0
地雷	0	0	0	0	0	1	0
孙儿	0	0	0	0	0	2	0
茂名市	0	2	0	0	0	2	0
厂商	1	0	1	0	0	10	0
本国	2	2	0	0	0	2	2
保存法	0	0	0	0	0	1	0
老总	5	0	0	0	0	5	0
圣诞夜	0	0	0	0	0	1	0
关键	0	0	0	0	0	7	0
糖脉康	0	0	0	0	0	5	0
抽查	0	0	0	0	0	2	0
陈凯歌	2	0	0	0	0	2	0
地震	0	8	0	0	0	75	0
订购	0	0	0	0	0	1	0
气氛	0	0	0	0	0	12	0
天天	0	0	0	0	0	12	12
乱人	0	0	0	0	0	2	0
情感	0	0	0	0	0	4	0
希沃特	3	0	1	0	0	3	0
八零	0	0	0	0	0	2	0
３月	0	0	0	0	0	1	0
真实性	0	0	0	0	0	3	0
嘉年华会	0	0	0	0	0	3	0
地院	0	0	0	0	0	2	0
执行长	1	0	0	0	0	1	0
辞呈	0	0	0	0	0	5	0
缆绳	0	0	0	0	0	2	0
清理	0	0	0	0	0	1	0
阿富	0	1	0	0	0	1	0
钦州港	0	0	0	0	0	2	0
动力车	0	0	0	0	0	1	0
三十一日	0	0	0	0	0	2	0
中国	148	1800	22	18	0	1823	61
大陆	7	182	5	0	0	192	2
简义龙	3	0	3	0	0	3	0
补正	0	0	0	0	0	2	0
挪威	0	6	0	0	0	6	1
何大安	5	0	0	0	0	5	0
杰伊	2	1	0	0	0	2	0
风雨	0	0	0	0	0	1	0
肖邦	0	0	0	0	0	4	0
奎格力	2	0	0	0	0	2	0
林鸿桂	4	0	4	0	0	4	0
讨论	0	0	0	0	0	15	2
大奖	0	0	0	0	0	1	0
兄弟俩	1	0	1	0	0	1	1
查看	0	0	0	0	0	1	0
演化	0	0	0	0	0	1	0
本地	0	4	0	0	0	4	0
引擎	1	0	1	0	0	4	1
头城	0	2	0	0	0	2	0
大队	0	1	0	0	0	1	0
主唱	0	0	0	0	0	2	0
罪犯	1	0	1	0	0	2	1
关闭	0	0	0	0	0	0	0
工业省	0	0	0	0	0	2	0
瓦利	1	0	0	0	0	1	0
比率	0	0	0	0	0	4	0
单字	0	0	0	0	0	2	0
左下	0	0	0	0	0	1	0
左上	0	0	0	0	0	4	0
侦察科	0	0	0	0	0	2	0
巴比亚新几内亚	4	4	0	0	0	4	0
大门	0	0	0	0	0	5	0
规范	0	0	0	0	0	1	0
郭义松	4	0	0	0	0	4	0
衔	0	0	0	0	0	2	0
街	0	0	0	0	0	4	0
１月	0	0	0	0	0	1	0
catalase	0	1	0	0	0	1	0
董平	3	0	0	0	0	3	0
潜水员们	1	0	1	0	0	1	1
